,City,Country,Housing Affordability,Living Costs by Income,Unemployment,Education,Safety,Mobility,Air Quality,Healthcare,Kids Activities,Paid Parental Leave,Family Inclusivity,Neighbourhood Safety,Family-Friendliness,Total,Lat,Long
0,Quebec,Canada,99.81,86.3,3.8,95.23,92.5,73.02,18.0,76.32,78.66,364,100.0,94,92,99.06,52.4760892,-71.8258668
1,Munich,Germany,83.49,100.0,3.77,90.06,90.4,79.0,21.38,73.33,78.16,467,100.0,83,94,96.75,48.1371079,11.5753822
2,Calgary,Canada,95.19,88.33,7.7,95.99,89.1,72.08,10.74,78.18,67.91,364,100.0,90,90,93.69,51.0534234,-114.0625892
3,Montreal,Canada,81.32,88.08,6.1,95.23,89.5,73.22,15.67,75.34,77.53,364,100.0,91,87,92.08,45.4972159,-73.6103642
4,Stuttgart,Germany,89.92,93.02,4.2,88.83,88.3,72.41,24.42,71.59,65.01,467,100.0,74,90,90.3,48.7784485,9.1800132
5,Ottawa,Canada,87.64,84.42,4.6,92.79,90.5,64.99,11.0,77.78,60.78,364,100.0,87,91,89.67,45.421106,-75.690308
6,Hamburg,Germany,88.62,93.22,6.33,88.71,84.4,68.68,21.21,72.4,76.38,467,100.0,82,94,89.11,53.5437641,10.0099133
7,Hanover,Germany,98.38,89.55,6.62,87.14,85.7,79.16,22.39,72.53,64.42,467,100.0,76,85,88.73,52.3744779,9.7385532
8,Frankfurt,Germany,86.1,90.84,5.38,88.94,87.7,84.29,26.61,72.1,57.59,467,100.0,77,87,88.52,50.1106444,8.6820917
9,Dresden,Germany,90.8,86.18,6.1,90.4,88.3,77.43,26.52,74.6,64.81,467,100.0,73,70,87.76,51.0493286,13.7381437
10,Berlin,Germany,82.75,88.75,8.13,88.94,85.9,77.37,24.16,71.19,89.43,467,100.0,74,82,87.64,52.5170365,13.3888599
11,San Francisco,US,81.83,90.55,2.68,85.53,83.3,79.96,15.77,65.44,98.39,117,100.0,85,79,86.38,37.7647993,-122.4629897
12,Dusseldorf,Germany,85.72,86.77,6.73,88.49,88.2,81.93,25.67,72.45,56.86,467,100.0,79,87,86.02,51.2254018,6.7763137
13,Leipzig,Germany,91.85,80.38,6.74,90.4,85.5,78.9,25.86,71.09,61.73,467,100.0,80,83,85.08,51.3406321,12.3747329
14,Boston,US,77.82,82.77,3.11,92.33,87.0,81.55,12.32,73.98,76.41,0,100.0,78,86,84.96,42.3602534,-71.0582912
